Geo Point;Geo Shape;ID;adresse;patrimoine
43.5842621535, 1.41257840449;"{""type"": ""LineString"", ""coordinates"": [[1.411473394167599, 43.58467654793114], [1.413332818342098, 43.58400851937343], [1.413586050493802, 43.5837078241879]]}";327;RUE DE ST GAUDENS;8 ERABLE
43.5922118841, 1.41767244417;"{""type"": ""LineString"", ""coordinates"": [[1.417387159933363, 43.592768667336486], [1.417617550783848, 43.592555723902684], [1.4178345475347, 43.59158420494093]]}";340;RUE DU 11 NOVEMBRE;15 FRENE,7 ROBINIER
43.5979687229, 1.43158414079;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.431187956501497, 43.59802948744114], [1.431169407914077, 43.59811692979846], [1.431924975290321, 43.59824809944949]], [[1.431295217983158, 43.59776757732201], [1.431330791705776, 43.597692786609535], [1.432068963449933, 43.59783632266103]]]}";345;PLACE ROGUET;26 ERABLE
43.6091608713, 1.38190535128;"{""type"": ""LineString"", ""coordinates"": [[1.382139507216604, 43.60912635414911], [1.381884020839953, 43.60923655588467], [1.381703531735591, 43.60904202224188]]}";360;EGLISE ST MARTIN DU TOUCH;7 CHENE
43.6139670365, 1.39967021084;"{""type"": ""LineString"", ""coordinates"": [[1.397821034589882, 43.61412547630544], [1.398401093206347, 43.614130280677415], [1.398964792492184, 43.61412290759463], [1.399495535095982, 43.61410321575589], [1.399777853038025, 43.614069420777135], [1.4001268261733, 43.61401209069325], [1.40050954061014, 43.61391890977936], [1.400960797559299, 43.61368177475165], [1.401396600774546, 43.61337224482548]]}";370;AVENUE ESPAGNO;118 MICOCOULIER,12 SOPHORA
43.6114565432, 1.45232098187;"{""type"": ""LineString"", ""coordinates"": [[1.453572744258689, 43.60953450787519], [1.45301334894743, 43.61013081315085], [1.452380236108076, 43.611382328892695], [1.451429996432771, 43.61303062827664], [1.451095021409255, 43.61340362648386]]}";386;BVD BONREPOS;39 PLATANE
43.6267950049, 1.45886977108;"{""type"": ""LineString"", ""coordinates"": [[1.458834331019434, 43.62684650666924], [1.458748290175424, 43.62673977708279], [1.458749229355351, 43.62667615002118], [1.458837449861344, 43.626634412110306], [1.458923171984848, 43.62676234847837], [1.459008584281811, 43.62691149803477], [1.458862284644155, 43.62693157864531], [1.458834331019434, 43.62684650666924]]}";395;PLACE BILA;2 PLATANE,1 ROBINIER,1 MARRONNIER
43.5693300797, 1.48493047246;"{""type"": ""LineString"", ""coordinates"": [[1.485260987125448, 43.569729705155375], [1.48514714678412, 43.56955259138276], [1.484966251276483, 43.569318557414284], [1.484803129967152, 43.569197474154606], [1.484630612533458, 43.56905516311913], [1.484564050278653, 43.568963010348426]]}";404;RUE RODIER;12 MURIER
43.6324253027, 1.43575152079;"{""type"": ""LineString"", ""coordinates"": [[1.43652292202452, 43.632501318801815], [1.436064092227999, 43.63214146327953], [1.435962057110211, 43.63208388579089], [1.435721109775479, 43.63208196916109], [1.435302679143786, 43.632360592321376], [1.435266101626078, 43.6324539659385], [1.435301460165617, 43.6326141455693], [1.43583191377392, 43.63302795657464]]}";13;RUE F. VILLON;11 TILLEUL
43.6373970234, 1.46379461184;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.464463871137567, 43.637284060317285], [1.463056516955775, 43.637655041702054]], [[1.463411401118404, 43.63739166432072], [1.464288532912543, 43.63716908596662]]]}";53;ALLEE R. NAVES;36 PLATANE
43.636686412, 1.46414179589;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.46439250111861, 43.637089882317404], [1.46400111469957, 43.636233510650776]], [[1.464281734682986, 43.637131696880594], [1.463890120145193, 43.63629132772498]]]}";52;PLACE CUVIER;22 PLATANE
43.6201210175, 1.43497848603;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.434943397265266, 43.619990831696775], [1.435413936185211, 43.62008809440055]], [[1.43459512199695, 43.62032161530708], [1.434664125957759, 43.62023263168508], [1.434717655014904, 43.62016360371531]], [[1.434763295760372, 43.62026684346617], [1.434664125957759, 43.62023263168508], [1.434652312360277, 43.6202285521427]]]}";9;PLACE DU MARCHE AUX COCHONS;5 TILLEUL,8 ROBINIER
43.6168011407, 1.44451920196;"{""type"": ""LineString"", ""coordinates"": [[1.444174727407032, 43.615526568727375], [1.444043022922728, 43.61589051702029], [1.443995704691292, 43.61619583632626], [1.444122503028137, 43.616497606813695], [1.445004755448726, 43.6175027237698], [1.445407319146867, 43.61793245626338]]}";383;AVENUE COLIGNON;73 TILLEUL,13 PEUPLIER
43.5946827047, 1.44712767953;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.447188229943661, 43.59478467183631], [1.446959968325558, 43.594705354701524]], [[1.447291945434071, 43.59457777015054], [1.447179860137697, 43.59453593363714]]]}";151;PLACE DES HAUTS MURETS;4 CERISIER A FLEUR,3 CHARME PYRAMIDAL
43.6077619352, 1.45171252544;"{""type"": ""LineString"", ""coordinates"": [[1.4539300459069, 43.6092485995529], [1.449495004971332, 43.60627527085406]]}";94;ALLE J.JAURES;113 GLEDITSCHIA,52 TILLEUL,59 ERABLE,5 TROENE
43.6008674605, 1.47935429877;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.478703172366604, 43.60121551464092], [1.479530780579404, 43.600858377907876]], [[1.478584526665391, 43.601128018077], [1.479373078739343, 43.600782379243164]], [[1.480643999151392, 43.600269618788246], [1.480687669226131, 43.60023853355956], [1.480743066374447, 43.60021914699102], [1.48080842651321, 43.60021370445678]], [[1.480739906433307, 43.600332528003285], [1.480918862055215, 43.600245094808656]]]}";129;RUE DES CYCLAMENS;11 MURIER PLATANE,6 ROBINIER,4 CATALPAS,1 CYTISE,1 ERABLE
43.5794021979, 1.38942614279;"{""type"": ""LineString"", ""coordinates"": [[1.390943443644775, 43.580089545266496], [1.390254008377958, 43.57922350589612], [1.388967609859964, 43.57909542174242], [1.388476814521314, 43.579230462085675], [1.388364256312634, 43.57930893104819], [1.388195945869396, 43.579745577791805], [1.387841525189415, 43.579693773217116]]}";267;RUE C. GENIAUX;27 NOYERS,14 CHENE,1 ROBINIER
43.5885753552, 1.4686008079;"{""type"": ""LineString"", ""coordinates"": [[1.468218625028834, 43.58885302344827], [1.468982990773623, 43.588297686926744]]}";409;RUE OURNAC;5 TILLEUL,1 CORYLUS
43.5883140772, 1.46946584542;"{""type"": ""LineString"", ""coordinates"": [[1.469269362017366, 43.58815868522207], [1.469662328820284, 43.5884694690858]]}";405;AV. DES GLAIEULS;3 TILLEUL,1 POIRIER DE CHINE
43.6233060908, 1.45900012486;"{""type"": ""LineString"", ""coordinates"": [[1.458917256747543, 43.62311557900209], [1.459079588902888, 43.623488722696905], [1.459082009287993, 43.62349695960761]]}";414;RUE DU FAUBOURG BONNEFOY;4 FRENE
43.5893749807, 1.48144509795;"{""type"": ""LineString"", ""coordinates"": [[1.479991285664385, 43.58949656033274], [1.480050345903761, 43.58941879993439], [1.481148778379092, 43.5890666318433], [1.481280463537719, 43.589051543442295], [1.481930267493182, 43.58912268149917], [1.482064151541373, 43.58931764797488], [1.482575516335447, 43.59022309482933]]}";433;RUE R. BOULOGNE;10 ERABLE
43.5915652977, 1.48495021725;"{""type"": ""LineString"", ""coordinates"": [[1.483990075565732, 43.59151429690587], [1.485307697219153, 43.59106497036416], [1.485416519710149, 43.59110174235427], [1.485746642341884, 43.59159431119218], [1.485724427325508, 43.591691594329696], [1.485035137599306, 43.5919229421833], [1.48406090068794, 43.59199440723058]]}";435;RUE DE VINCENNES;8 TILLEUL DE CRIMEE
43.6025383408, 1.36737145391;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.36685667890533, 43.60288130769576], [1.368286245834531, 43.602481113111594], [1.36989474209251, 43.60204260181549], [1.371217937460921, 43.60080782340221], [1.371474872054567, 43.60069931659323], [1.372973919734513, 43.60041878774617]], [[1.361472335593562, 43.60436317478075], [1.366279243596694, 43.603030931195775]]]}";428;RUE DISSART;40 FRENE,50 CHENE,71 PLATANE
43.5608044333, 1.36533602267;"{""type"": ""LineString"", ""coordinates"": [[1.364620031898503, 43.55927104287352], [1.365029131377266, 43.56030949421677], [1.365210382781284, 43.560629786491155], [1.365516748198494, 43.56107237180994], [1.365680726811207, 43.5613103119609], [1.365746936828243, 43.561479293890734], [1.365776218086987, 43.56167918063619], [1.366037898269477, 43.56233864668142]]}";292;IMPASSE DE DIANE;31 CHENE
43.5907863347, 1.48209309796;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.482608232208235, 43.59056093215699], [1.480111424227461, 43.5913193039478], [1.480120656547352, 43.59131273304034]], [[1.480112942612139, 43.59121303442842], [1.482609554868409, 43.59046794388324]], [[1.477383023354123, 43.5920903822417], [1.478650412707309, 43.591682488302034]], [[1.482793175971709, 43.59040954400967], [1.483198925747772, 43.590280979551515], [1.484105895127817, 43.59002718456876]], [[1.484218804232319, 43.59008817175244], [1.483081935608596, 43.590413939530954], [1.482865152376798, 43.59048980112873]], [[1.477184171685783, 43.59220769478823], [1.478583321194281, 43.591775511910434]], [[1.487229714793191, 43.58926885189404], [1.487878443291901, 43.589469169572936]], [[1.487970980069133, 43.5895074527473], [1.489123965875855, 43.58988444036408]]]}";253;ALLEE DE LIMAYRAC;89 MURIER,15 ERABLE
43.6339946808, 1.48967572451;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.489300456599124, 43.63406875463535], [1.489909304178047, 43.63392461904975]], [[1.490076459758612, 43.63399490196341], [1.49017186682855, 43.63396906363275]]]}";476;IMPASSE HENRI JANSOU;4 ERABLE,4 MAGNOLIA
43.635916081, 1.48922306688;"{""type"": ""LineString"", ""coordinates"": [[1.489108814059716, 43.63572406554329], [1.489337319706287, 43.63610809642262]]}";479;RUE DAGUERRE;3 CORYLUS
43.6107383243, 1.4566006709;"{""type"": ""LineString"", ""coordinates"": [[1.456522547480386, 43.61048360526871], [1.456354725929268, 43.61064976882585], [1.456787193172806, 43.61090385128566], [1.456947794157443, 43.61078588629632]]}";482;PLACE DE LA LEGION D'HONNEUR;19 TILLEUL
43.5789578842, 1.38742898321;"{""type"": ""LineString"", ""coordinates"": [[1.38998068055139, 43.57837116957054], [1.388926030408447, 43.578680670182116], [1.388752962510611, 43.57867922105795], [1.387287434634334, 43.579085670283966], [1.386041881314634, 43.579263904912565], [1.385414859953199, 43.579082658678125], [1.385093564863716, 43.57958489492794]]}";286;CHEMIN DES PRADETTES;8 CHENE,10 ERABLE,1 MICOCOULIER,1 CEDRE,10 FRENE
43.659646653, 1.43327809798;"{""type"": ""LineString"", ""coordinates"": [[1.434561802651386, 43.659994686626156], [1.434069533160738, 43.659918134931544], [1.433989709013498, 43.659854108570926], [1.433922179201055, 43.65966623446172], [1.433781887302645, 43.65954969171], [1.432967993507288, 43.65959618539343], [1.431898060311142, 43.65944837421226]]}";484;RUE GASPAROTTO;7 ERABLE,8 TILLEUL
43.656341705, 1.43392842059;"{""type"": ""LineString"", ""coordinates"": [[1.432818882912606, 43.65615721380832], [1.43338494824884, 43.65628437006632], [1.435045383466536, 43.65648293849289]]}";488;RUE ANDRE HAON;16 TILLEUL,16 MICOCOULIER
43.5972861095, 1.45725926265;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.457457996997908, 43.59723653005768], [1.456897305343358, 43.59723799400432]], [[1.457443090607565, 43.597160742925986], [1.456890323425028, 43.59716809119688]], [[1.456778802448525, 43.59712647336856], [1.456788273441014, 43.59702758841563]], [[1.457610285807878, 43.59777314948335], [1.457616282417446, 43.59736592298028]]]}";392;RUE B. MULET;7 MICOCOULIER,19 POIRIER
43.6332264346, 1.43259100353;"{""type"": ""LineString"", ""coordinates"": [[1.43188847860049, 43.63301051084012], [1.433293528459572, 43.63344235839593]]}";500;AVEUE JULES FERRY;12 LAGERSTROEMIA
43.6183849203, 1.45620316534;"{""type"": ""LineString"", ""coordinates"": [[1.456034044505756, 43.618473332635695], [1.456372286170126, 43.61829650790309]]}";502;RUE JEAN AICARD;13 FRENE
43.6224827711, 1.45577446927;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.456369536048371, 43.62189917890185], [1.456327671371697, 43.621919163175086], [1.45481888216164, 43.62253182858516], [1.454579950723465, 43.62267650849444], [1.454402110275936, 43.622840789555134], [1.454241290929448, 43.623040233885504]], [[1.457722713324823, 43.621286484946594], [1.457228903897716, 43.62146741988363], [1.456570571271924, 43.621803179694965], [1.4565439317052, 43.62181589989271]], [[1.454262189510551, 43.62332918894362], [1.454328966538715, 43.623708271263396], [1.454489674635978, 43.6240986032898], [1.454609287868694, 43.624330884025355], [1.454679100703352, 43.62450492782171], [1.454678947017611, 43.62451544941155], [1.454698164880971, 43.62468384507001], [1.454716542743207, 43.62491007801204]], [[1.457847619453874, 43.62144036573432], [1.457376300616389, 43.62158324981009], [1.456999617031641, 43.62178338448407], [1.456572238503654, 43.62198796446422]], [[1.456418176766834, 43.62204648506572], [1.456391428329582, 43.62205664533165], [1.456210379623797, 43.62214125314579], [1.455500169085733, 43.6224256306465], [1.455248780757237, 43.62252243621111], [1.455051084995124, 43.62261620920241], [1.454758736139329, 43.62274480617106]]]}";177;RUE BOUVIER;48 MICOCOULIER,21 CORYLUS,3 LAGERSTROEMIA
43.5763462758, 1.44090669048;"{""type"": ""LineString"", ""coordinates"": [[1.441532176126444, 43.57696917383644], [1.440281204835915, 43.57572337767449]]}";522;RUE JEAN LEBAS;18 MICOCOULIER
43.6145371868, 1.42231070277;"{""type"": ""LineString"", ""coordinates"": [[1.422885696030617, 43.614616749209084], [1.421735709499937, 43.61445762430061]]}";532;RUE HENRI DOCQUIERT;16 CHARME PYRAMIDAL
43.5844446465, 1.40588082486;"{""type"": ""LineString"", ""coordinates"": [[1.406605594523342, 43.58373380663445], [1.406005582995755, 43.584338375867766], [1.405669690453531, 43.58457943431061], [1.405415265768649, 43.58484181940678], [1.405338439379826, 43.584991541010204], [1.405325715044353, 43.58523809750018]]}";537;RUE JOACHIN DU BELAY;28 ERABLE
43.6427501554, 1.45422769539;"{""type"": ""LineString"", ""coordinates"": [[1.453587927956235, 43.6423166265392], [1.454867462829317, 43.643183684210456]]}";546;RUE CLARA ZETKIN;12 MAGNOLIA
43.6127182097, 1.4301735028;"{""type"": ""LineString"", ""coordinates"": [[1.429924429668607, 43.61278481049114], [1.430422575929784, 43.6126516088313]]}";548;RUE RITAY;9 SAVONNIER
43.5974979454, 1.39885837308;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.398941512726565, 43.59747174368939], [1.398910901409051, 43.59753070077991]], [[1.398781239509117, 43.59746973136478], [1.398761701276756, 43.59751776339236]]]}";550;RUE YVES DU MANOIR;3 LAGAERSTROEMIA,1 CHARME
43.6489741994, 1.4264703094;"{""type"": ""LineString"", ""coordinates"": [[1.426975376392022, 43.64810943379], [1.426936353510587, 43.64820759197501], [1.42693023752207, 43.6484935305938], [1.426794973618626, 43.64876125949829], [1.426601323467299, 43.64895052102857], [1.426113260315657, 43.64928381335367], [1.42594947492921, 43.64948627230251], [1.425841124177542, 43.64978361183904]]}";5;LALANDE (CHE DE L EGLISE DE LALANDE);18 PLATANE
43.6291780156, 1.40905344928;"{""type"": ""LineString"", ""coordinates"": [[1.409880894389387, 43.629142795466706], [1.408226004168113, 43.62921323565972]]}";458;chemin de Ginestous;38 ORME
43.6133063099, 1.42179590041;"{""type"": ""LineString"", ""coordinates"": [[1.422374427214034, 43.61207216078787], [1.421960710164285, 43.613374265446545], [1.421635246020302, 43.614433491235594], [1.421283367935816, 43.61437386243168], [1.421601082436069, 43.61332274908587], [1.421988347770225, 43.61202827503789]]}";520;ALLEE CECILE  Brunschvicg;150 CHENE VERT,6 CYPRES,20 CHARME PYRAMIDAL
43.6125097225, 1.42706439638;"{""type"": ""LineString"", ""coordinates"": [[1.4348955504713, 43.61528196175827], [1.434424923133109, 43.615123688959386], [1.433902573194974, 43.61489364375883], [1.433426972043702, 43.614606664147004], [1.432356784339649, 43.61391594193116], [1.431648319245158, 43.6135389855369], [1.431094376141125, 43.61331581480818], [1.430324255166925, 43.613038524503466], [1.429582940742517, 43.61281462968764], [1.428555052516513, 43.61253565939914], [1.425874343132879, 43.611924403988695], [1.425391559598111, 43.61186940118042], [1.424604297377505, 43.61172160222894], [1.423349133236839, 43.61152721300624], [1.422208251050216, 43.611339852241926], [1.420037365425606, 43.611005909188094], [1.418874626646837, 43.61083740507842]]}";113;BVD DE LA MARQUETTE;46 CHARME,4 CHARME PYRAMIDAL,127 PLATANE
43.6085184524, 1.43715236202;"{""type"": ""LineString"", ""coordinates"": [[1.437282752448983, 43.60853178972474], [1.437282822608198, 43.608529049458134], [1.437282939540208, 43.60852448234709], [1.437283033085803, 43.60852082865826], [1.437281892947412, 43.60851624455401], [1.437282009879467, 43.60851167744296], [1.437280846354902, 43.608508006760886], [1.437279706216916, 43.6085034226566], [1.43727854285393, 43.608499745675026], [1.437277379329801, 43.6084960749929], [1.437274973291711, 43.60849148007754], [1.437272552859461, 43.60848778610259], [1.437271412722475, 43.60848320199819], [1.437268992129481, 43.60847951432261], [1.437264057397722, 43.6084757926602], [1.437261613418767, 43.6084730184067], [1.43725919282677, 43.608469330730905], [1.437255515165746, 43.60846562606159], [1.437251814118327, 43.60846283481435], [1.437248136458145, 43.60845913014477], [1.437244435411456, 43.60845633889729], [1.437239477296045, 43.60845353065602], [1.437235799637169, 43.60844982598605], [1.437230841522684, 43.60844701774441], [1.437227117090319, 43.60844513991858], [1.43722215897661, 43.60844233167655], [1.437218434544798, 43.60844045385045], [1.437213476431873, 43.60843764560806], [1.437207237863233, 43.608435733793634], [1.437202256363634, 43.608433838972964], [1.437197251476694, 43.6084328575743], [1.437192269977639, 43.608430962753204], [1.437186008022536, 43.60842996435986], [1.437181026524063, 43.60842806953826], [1.43717602163794, 43.608427088138704], [1.43716850261502, 43.608426072750014], [1.437163474341112, 43.60842600477212], [1.437158460786003, 43.60842502325459], [1.437152175443741, 43.608424938281615], [1.437147170558339, 43.608423956880785], [1.437140885216202, 43.608423871907206], [1.437134576485501, 43.608424700355485], [1.437128291143305, 43.60842461538123], [1.43702489278783, 43.60848443791928], [1.437024822617089, 43.60848717818579], [1.437024682275587, 43.60849265871879], [1.437024518382491, 43.60849905897339], [1.437024401431195, 43.60850362608421], [1.437024261089617, 43.60850910661718], [1.437025401208528, 43.60851369072397], [1.437025260867016, 43.60851917125694], [1.437026354205708, 43.608525582208024], [1.437027494325083, 43.608530166314765], [1.437028611054416, 43.608535663843675], [1.437032265315732, 43.608540281942275], [1.437033405435826, 43.608544866048966], [1.437035779236963, 43.60855038057366], [1.437038161707984, 43.608555895215524], [1.437040558900021, 43.60856049631796], [1.437044213163728, 43.60856511441615], [1.437046610356583, 43.60856971551846], [1.437047820648112, 43.60857155935851], [1.437052755213121, 43.60857528732949], [1.437057713491144, 43.608578089279185], [1.437062671447003, 43.608580903827566], [1.437066349103265, 43.608584608502895], [1.437071307221363, 43.60858741675145], [1.437076265339913, 43.6085902249998], [1.437081223458919, 43.608593033247935], [1.437087462039688, 43.60859494506902], [1.437092443548871, 43.60859683989455], [1.437098658741194, 43.60859966513719], [1.43710364025111, 43.608601559962196], [1.437109902222469, 43.60860255835994], [1.437114883732973, 43.608604453184476], [1.437122379388139, 43.608606381998705], [1.4371273842881, 43.60860736340056], [1.437133646260446, 43.608608361797], [1.437139908232995, 43.60860936019313], [1.437144913133482, 43.608610341594215], [1.437151198494821, 43.60861042656757], [1.437158726209629, 43.60861144207449], [1.437165011571103, 43.608611527047096], [1.437171296932593, 43.60861161201936], [1.437176325221798, 43.60861167999691], [1.437182610583322, 43.608611764968565], [1.437190176404993, 43.60861095351194], [1.437196485154188, 43.60861012506067], [1.437201513443299, 43.60861019303715], [1.437207845579818, 43.60860845116311], [1.437282752448983, 43.60853178972474]]}";67;PLACE ST JULIEN;8 MAGNOLIA,2 ERABLE
43.6114901961, 1.45721102958;"{""type"": ""LineString"", ""coordinates"": [[1.456532566418541, 43.6116725379977], [1.456599744632106, 43.611701760599836], [1.456687028511096, 43.611731251563945], [1.456789684004175, 43.61174998285092], [1.456860023363329, 43.61175366296151], [1.456948078193555, 43.61175301081636], [1.45704901906267, 43.61173973832018], [1.457164282012042, 43.611707468471465], [1.457254817777179, 43.611658415036665], [1.457343000729358, 43.6116029340034], [1.457414878066003, 43.61154541417038], [1.457457665256868, 43.61149480971555], [1.457503050159958, 43.611440591273215], [1.457528320980433, 43.611386098145296], [1.457556437870966, 43.611318850717], [1.457566738262912, 43.61125959547682], [1.457560626835827, 43.611202856167104], [1.457546949555141, 43.611146929644384], [1.457512354130238, 43.61107244935151], [1.457460962940627, 43.61101602591222], [1.457421672878463, 43.61097803228559], [1.457353939221254, 43.61092139073071]]}";462;Allées Xavier Sarradet;20 POIRIER DE CHINE
43.5874689703, 1.48654552192;"{""type"": ""LineString"", ""coordinates"": [[1.48160629750104, 43.58862501425407], [1.482746147864566, 43.58854038159301], [1.483296808943504, 43.58848913089531], [1.483573035529932, 43.58845254519498], [1.484759007268377, 43.588231425023494], [1.485346957991433, 43.58809566984186], [1.485993766424822, 43.587867469203644], [1.486622841024248, 43.58764451516566], [1.487247900650956, 43.587431562578374], [1.488131876443233, 43.5871187296103], [1.488874693508709, 43.58676932225706], [1.489484290649852, 43.586418168920105], [1.490047453662562, 43.58606365818747], [1.490613257375031, 43.58585630950984], [1.490911402326477, 43.58574597389201], [1.491100438736968, 43.58567625730457], [1.491262588249974, 43.585575109781395]]}";255;CHEMIN DE FIRMIS;30 CHENE,3 FRENE,3 ROBINIER,1 MARRONNIER
43.577054791, 1.45354733923;"{""type"": ""LineString"", ""coordinates"": [[1.454857640738183, 43.576489624537324], [1.454486218894489, 43.57686206513359], [1.454257293837125, 43.57696774471002], [1.454113081494597, 43.57700419260393], [1.453917801666698, 43.57697233983741], [1.453773604707867, 43.57695853152558], [1.453619733899539, 43.57697931588252], [1.453211529287422, 43.57711640871008], [1.452135997786884, 43.57749676849154]]}";207;AVENUE DE RANGUEIL;15 ERABLE,9 CHENE VERT
43.5806058737, 1.43792289613;"{""type"": ""LineString"", ""coordinates"": [[1.439452951695844, 43.58370794245861], [1.439378082572448, 43.58319458444062], [1.439179559295897, 43.58260066509415], [1.439076228713607, 43.582413766169005], [1.438778647249418, 43.58181028399365], [1.43847758128748, 43.58129447976785], [1.437704428217613, 43.58036381601538], [1.437027039013745, 43.579375962029964], [1.436823867990624, 43.5790140854087], [1.43662820238776, 43.57845766262531], [1.436489071485437, 43.57790200438933], [1.436404690346772, 43.577495643395444]]}";194;BVD DELATTRE DE TOSSIGNY;64 PLATANE
43.5581659899, 1.40826176918;"{""type"": ""LineString"", ""coordinates"": [[1.409319074593572, 43.55755951789522], [1.409037181031321, 43.557865425389686], [1.407372198639287, 43.55854155699115], [1.407128825103827, 43.55867070258796]]}";443;RUE ALEXANDRA DAVID NEELS;22 CHENE ROUGE,3 PIN PARASOL,2 MICOCOULIER
43.6324084747, 1.45036887462;"{""type"": ""LineString"", ""coordinates"": [[1.446047966201607, 43.6274596150289], [1.447870087535903, 43.62827817422195], [1.448371552634493, 43.62849508051737], [1.448671096990435, 43.628687340171226], [1.448845637003831, 43.62884868299839], [1.44929223203985, 43.629294207734326], [1.449566161901676, 43.62970268778586], [1.449640063272885, 43.63001254408976], [1.449581799494362, 43.63126549300862], [1.449591359109043, 43.63158270377517], [1.449655111837839, 43.63174712839563], [1.449737852964472, 43.63190723886881], [1.449892748162447, 43.632148730783626], [1.450055263896216, 43.6323382357974], [1.450704628143159, 43.63302405947143], [1.451460304977237, 43.63383466213941], [1.452243443787532, 43.63470411168573], [1.452545704383837, 43.63503895057517], [1.45271552030122, 43.63518925887975], [1.452873795321555, 43.635645529718154], [1.452777203110286, 43.637122753240206], [1.452720597450035, 43.63861056815486]]}";471;BD BOURGES-MAUNOURY;74 ERABLE,120 PLATANE
43.6395589142, 1.44304981081;"{""type"": ""LineString"", ""coordinates"": [[1.444442135055368, 43.64016628130523], [1.44357743431616, 43.64022683938382], [1.442158612462386, 43.64030642710712], [1.442130663759171, 43.64007029025374], [1.442090819818776, 43.639314964702166], [1.443243736125618, 43.639250987678615], [1.443190472115544, 43.63877418119205], [1.443224781674107, 43.63866224826863], [1.443338776241351, 43.63858336828286], [1.443498848550904, 43.6384740352669], [1.444225635676794, 43.638442696053744]]}";42;RUE DES CHAMOIS;77 MICOCOULIER,11 PIN PARASOL,1 GLEDITSCHIA
43.6400239053, 1.45679641069;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.459938228475754, 43.63933741213433], [1.459658633610095, 43.63939765588363], [1.459271845334241, 43.6396172927458], [1.459184812152796, 43.63967553168471], [1.4588838656178, 43.63983417758977], [1.45862256497658, 43.639917505711765], [1.458238159503855, 43.63999279629299], [1.4577442673779, 43.64006845321003], [1.456307322577742, 43.64002003856803], [1.456075282686131, 43.640040704552796], [1.455584909696844, 43.64022605245736], [1.45528493703593, 43.64029606459308], [1.454362156764751, 43.64026546248081], [1.453846375006411, 43.64026130999974], [1.453749467936033, 43.64031209682854], [1.45370577065161, 43.6403480490264]], [[1.45370577065161, 43.6403480490264], [1.453610674852164, 43.640426296893686]]]}";48;RUE ETCHEVERLEPO;30 FRENE,1 CHENE
43.6211868864, 1.41300369676;"{""type"": ""LineString"", ""coordinates"": [[1.412162330580436, 43.62112844789907], [1.413845062934704, 43.62124532498386]]}";19;PARKING STADE TOULOUSAIN;71 PLATANE,8 PIN PARASOL
43.6164395318, 1.42968691809;"{""type"": ""LineString"", ""coordinates"": [[1.430951099349119, 43.61690552023821], [1.428422736836019, 43.61597354337075]]}";29;AVENUE J. DAGNAUX;46 PLATANE,3 CHARME PYRAMIDAL
43.6061170932, 1.41293005223;"{""type"": ""LineString"", ""coordinates"": [[1.41280420734801, 43.60609559220707], [1.412867443922072, 43.60603759012786], [1.412937805767991, 43.60602306663082], [1.412999312590184, 43.60604059161769], [1.413012810505969, 43.606044438205], [1.413051042389482, 43.60609194212135], [1.413044998202718, 43.60614663337608], [1.413010535133065, 43.60619165840251], [1.412934924585087, 43.60620992240287], [1.412857232376568, 43.60619417909636], [1.412813752052495, 43.606150415572145], [1.41280940076998, 43.60609563830828]]}";373;POND POINT DUCIS;10 MARRONNIER
43.5868829668, 1.46760995455;"{""type"": ""LineString"", ""coordinates"": [[1.467268243696247, 43.587035510500485], [1.467951665398846, 43.58673042312965]]}";408;RUE J. CLARETIE;6 TILLEUL
43.5878651301, 1.46958415797;"{""type"": ""LineString"", ""coordinates"": [[1.469473477333387, 43.58777441726861], [1.469694838601479, 43.5879558429146]]}";406;AV. DES ALPES;2 PLATANE
