Geo Point;Geo Shape;ID;adresse;patrimoine
43.5975130935, 1.44555902672;"{""type"": ""LineString"", ""coordinates"": [[1.445583565860804, 43.598655232673835], [1.44554140646406, 43.59802426699088], [1.445571473505211, 43.59670654736103], [1.445553838925922, 43.59637037503195]]}";153;RUE DU LANGUEDOC;12 TILLEUL,3 ROBINIER,1 PLATANE
43.5917257617, 1.45064073352;"{""type"": ""LineString"", ""coordinates"": [[1.44897872923393, 43.5923406748459], [1.449691334912546, 43.592083953113466], [1.450060543522058, 43.591941143845276], [1.452301413896101, 43.591107154241115]]}";155;RUE DUMERIL;54 CHENE VERT
43.5923303502, 1.47270796414;"{""type"": ""LineString"", ""coordinates"": [[1.471198711423004, 43.59187541614824], [1.474217216857473, 43.5927852842529]]}";167;AVENUE BALANSA;40 MARRONNIER,4 PLATANE,2 ROBINIER
43.5940969693, 1.48449106652;"{""type"": ""LineString"", ""coordinates"": [[1.483898516480929, 43.594485680932074], [1.485083616558986, 43.59370825763991]]}";171;RUE ST CLAIRE;8 PEUPLIER,1 PIN,1 CHENE
43.5950082031, 1.45670960551;"{""type"": ""LineString"", ""coordinates"": [[1.456696481337455, 43.59531276911556], [1.456694502732711, 43.59491737105038], [1.456775606100788, 43.594713637855875]]}";172;PORT ST SAUVEUR;23 TULIPIER
43.5939273147, 1.46491041915;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.465611112167426, 43.59390597547884], [1.465976806479205, 43.59369317139226], [1.466228008264827, 43.59341959249259], [1.466428728951803, 43.593217496967185], [1.466614002638086, 43.59294341418795], [1.466797191270634, 43.59281305642637], [1.467147258049444, 43.592540238825904], [1.467479802251884, 43.592339152538116], [1.467812514790156, 43.59212608812499], [1.468161353894144, 43.59193710712824], [1.468710898477771, 43.59154602545729]], [[1.45677639111996, 43.598437478688076], [1.457837488162095, 43.598014483982475]]]}";173;AVENUE J. RIEUX;35 PLATANE,17 MICOCOULIER,5 TILLEUL,4 ORME
43.5804966445, 1.44885316621;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.449071815799889, 43.58073036600993], [1.448840455559873, 43.58069242463903], [1.448943599171503, 43.58044032373405], [1.449191344772964, 43.58049043913511]], [[1.448294851987116, 43.58026945201068], [1.448824858741264, 43.58039187038579]], [[1.449082677372198, 43.58072593046865], [1.449186184025046, 43.58049704336067]]]}";201;EGLISE STE GERMAINE;4 CATALPAS,3 GLEDITSCHIA,4 PLATANE,1 FRENE,1 CHENE,2 PALMIER
43.5787539724, 1.45727068422;"{""type"": ""LineString"", ""coordinates"": [[1.454932767586502, 43.58059147694688], [1.459608600857007, 43.57691646788351]]}";211;AVENUE DU LAURAGAIS;10 GLEDITSCHIA
43.5688925933, 1.4536906953;"{""type"": ""LineString"", ""coordinates"": [[1.452222202948527, 43.56789674279598], [1.455159187646102, 43.56988844371632]]}";220;AVENUES DES COTEAUX;26 PLATANE,9 TILLEUL,14 FRENE
43.574914826, 1.4455728919;"{""type"": ""LineString"", ""coordinates"": [[1.447990020484874, 43.57406023228658], [1.447128348738757, 43.574373040727295], [1.445750640409355, 43.57490825267039], [1.444851754815178, 43.5752342121417], [1.44451333983228, 43.575326154601804], [1.443653870370686, 43.575538877083325], [1.443474416748563, 43.575529893249296], [1.44322636587796, 43.57540872818605], [1.443183472351159, 43.57531850209995]]}";223;RUE DE LA CHARBONNIERE;36 PIN PARASOL,3 GLEDITSCHIA,2 PLATANE
43.585180708, 1.47255971519;"{""type"": ""LineString"", ""coordinates"": [[1.471956952540189, 43.585561136369364], [1.473162477835435, 43.58480027954565]]}";238;RUE ETIENNE D'ORVES;9 PLATANE
43.5736857667, 1.49096619746;"{""type"": ""LineString"", ""coordinates"": [[1.4911703403611, 43.573871524251395], [1.490762054562252, 43.57350000906317]]}";258;RUE D'ARMENTIERES;6 ERABLE,6 TILLEUL,4 CHENE
43.5844039888, 1.39687890163;"{""type"": ""LineString"", ""coordinates"": [[1.394984210045952, 43.58462942998412], [1.398773593220289, 43.584178547685646]]}";263;AVENUE J. BAYLET;12 LIQUIDAMBAR,32 ERABLE
